content,rating
sp dùng được nhưng với giá lúc mình mua thì không rẻ nhé 480k hay sao á,4
 mình nhận đủ hàng,5
ok kfheueowjsbxgwuwowobsbdbriwywgurifkgmh,5
 Giặc cũng cực sạch nhé,5
Sản phẩm chắc chắn hơn so với mấy hãng khác,5
Mình đã dùng 1 cái và cái này là cái thứ 2,5
" Trước đây tôi đã mua nhiều sản phẩm cây lau nhà, cả dạng tròn với dạng tự vắt khác, nhưng lần này tôi hoàn toàn hài lòng vì nhận được một sản phẩm vừa đẹp, chất lượng hoàn thiện cao và cảm giác sử dụng tốt",5
"Chất lượng hoàn thiện tốt, cần thời gian để kiểm chứng hiệu quả sử dụng",5
 Để trong góc nhìn nhỏ xinh,5
Khó di chuyển,5
sản phẩm chất lượng xứng đáng vs giá tiền bỏ ra,5
Mình rất thích sp này ạ,5
" Nhựa tốt, ko phải từ nhựa tái chế",5
 Độ bền chưa biết nhưng thấy ưng ý khi sử dụng,5
" Ngoài ra thì sử dụng cũng ổn, đúng chức năng",4
 Chân thành cảm ơn shop ! Mình sẽ tiếp tục ủng hộ shop!,5
 Nhưng góp ý một chút vì nắp cài bị hở chưa kín lắm,4
Mình nua tặng mẹ,5
Như ý,5
"Sản phẩm tốt, mua xài được 6 tháng rồi mà giữ nhiết tốt, cơm canh nóng hổi",5
Mới dùng thấy ok,5
 Chổi cũng rất nhẹ nữa,5
sản phẩm nhỏ gọn đẹp ,5
 Giặt sạch hơn mình tưởng,5
Thấy hơi nhỏ không biết xài thế nào,5
 Nhà sản xuất nên thay bằng nhựa cứng thì tốt hơn,5
" Chính sách hỗ trợ khách hàng cũng rất tuyệt vời, tôi rất thích",5
 Tiện lợi dễ sử dụng ạ,5
"Giao hàng nhanh, sản phẩm đóng gói chắc chắn",5
"rất hài lòng, thực tế như hình ảnh giới thiệu",5
"sản phẩm gọn nhẹ, chắc chắn rất tiện dụng",5
Cây lau nhà đỉnh của đỉnh phải mua,5
Tuyet voi,5
 2 người vừa đủ ăn,5
4,5
Gói cẩn thận,4
"Cây tốt, nhựa đẹp, nhìn sang xịn",5
"Giao hàng nhanh, nhân viên giao hàng rất nhiệt tình",5
 Đẹp ,4
"Ưu điểm dầu tiên là thiết kế nhỏ gọn , hợp lý , tiết kiệm nước mà giặt vẫn sạch ",4
9h tối hôm trước đặt hàng thì trưa hôm sau đã nhận được,5
 Shop bán hàng nhiệt tình uy tín,5
 mình đổ nước sôi vào từ 15h đến 21h30 mới sực nhớ ra,5
 vote 5 sao,5
"Đẹp, nhẹ, chắc chắn, quà đẹp! Mua được giá tốt!",5
Có điều là khớp của cây lau bị đàn hồi quá nên nhiều lúc nó bật lại vị trí cũ làm mình hơi khó chịu,5
 Lau nền sạch sẽ,5
Xài ổn,5
"Sản phẩm có 1 hộp giữ nhiệt bên ngoài kèm, 1 nắp dự phòng và 3 hộp inox đựng thức ăn bên trong, 3 hộp này không có chức năng giữ nhiệt nên khi cho thức ăn nóng vào sẽ phải lấy khăn cầm mới đóng nắp được",5
 Mình đã phải đặt mua tiếp 1 bộ nữa để mỗi tầng 1 bộ đỡ phải bê lên bê xuống,5
Sản phẩm nhỏ gọn và chắc chắn,5
Sản phẩm đúng như hình,5
Dễ dùng,5
 Nếu nữ ăn thì vừa,5
"Hàng VN chất lượng cao, dễ xài",5
"Sang, đẹp và chất lượng! Giữ nhiệt tốt, đựng nước  mới nấu thì sau 6h còn khoảng 80%, 12h vẫn còn khoảng 50%",5
"+ Bông lau 1 đầu bọc 1 đầu dán, hướng để nhấn bông lau luôn luôn là hướng đầu bọc nên không sợ bị bong phần đầu dán",5
 xin chân thành cảm ơn shop rất nhiều ,5
 Nếu như có thêm 2 bánh xe ở duới để di chuyển khi lau nhà thì thật sự Sp này ko có đối thủ ở cùng mức giá,5
Ok sai ổn,4
Sản phẩm nhỏ gọn chắc chắn dễ xếp gọn trong nhà,4
" Da su dung ngay va lien, san pham rat tuyet",5
"Chắc chắn, xịn xò nhé",5
 Cực kì đáng tiền,5
"Không hiểu sao tôi vắt hơn 20 lần nhưng miếng giẻ lau vẫn không kiệt được nước, khi lau nhà thì nền khá ướt, nhất là vào những hôm trời nồm/độ ẩm cao thì cả tiếng sau mới khô được : ",4
" sản phầm nhỏ gọn, dễ di chuyển",5
"Chưa dùng nên k biết chất lượng thế nào, giao hàng nhanh",5
"Mẹo là lau bằng nước nóng sẽ mau khô mà còn diệt khuẩn nữa, mình pha 1:1 nước sôi và nước lạnh, thêm 1 nắp nước lau, lau bảo đảm ko bị tanh",5
"Đúng mô tả, sử dụng tiện lợi, bền hay không chưa biết",5
"mới nhận được hàng nên chưa biết giữ ấm lâu không, nhưng hình thức rất đẹp, ưng ý",5
"Hộp cơm đẹp, dày dặn, rất hài lòng",5
Mình vừa nhận được hàng,4
"Rất thích, sẽ ủng hộ tiếp",4
Cây lau dễ sử dụng,5
"Hàng đẹp, chưa dùng thử, ko biết giữ nhiệt được lâu không",5
"đẹp, chắc chắn, 3 hộp bên trong gọn xinh",5
hàng tốt,5
sản phẩm chất lượng nhưng là hàng trung quốc,5
"Hàng như hình, giao hàng nhanh, đã dùng thấy rất tiện và gọn",5
"Sp ok,nhẹ ,sạch,nói chung là rất tốt",5
"Đóng gói chắc chắn, giao hàng nhanh, chưa sử dụng sp nên chất lượng sp sẽ đánh giá sau ạ",5
Dễ vệ sinh,5
"Bộ sản phẩm này rất tiện lợi ,",4
Sản phẩm xài rất tốt,5
"hộp cơm đẹp, giao hàng nhanh",5
Phù hợp vs các b sinh viên xa nhà tự nấu đồ ăn,5
"sản phẩm như hình, đem hộp cơm từ sáng đến 12h còn nóng hổi",5
" Tính năng giữ nhiệt tương đối tốt, mình thử cho 1/4 nước sôi vào các hộp đựng, để hộp vào bình và để bình luôn vào túi, để 5 hơn giờ nhiệt độ nước còn tương đối nóng khoảng 45 độ",5
 Tuy nhiên qc thấy nhà bán tặng quà,4
"Bộ cây lau cực gọn, dễ lắp ráp, cực dễ sử dụng, hiệu quả cao, nhà sạch và mau khô, không phải vắt tay nữa, trời ơi thích gì đâu luôn!!!!",5
Rất hài lòng sp của bên shop này,5
Quá ưng luôn,5
"Gọn, nhẹ, sd khá ok",5
"hàng chất lượng,đang tinh",5
Rất ổn so với loại tròn truyền thống vốn dễ bị hư con quay,4
 Khi vắt nước thì dc tách nước dơ ra nữa,5
Màu sắc đơn giản phù hợp nhiều đối tượng,5
"Nhỏ gọn tiết kiệm diện tích, trọng lượng nhẹ",5
 Chuẩn,5
Thật tuyệt vời 👍,5
 lau sạch,5
" Nhỏ gọn, nhẹ và tiện lợi",5
quá xịn xò và rẻ so với chất lượng,5
"giữ nhiệt tốt, phụ kiện đầy đủ, đóng gói cẩn thận",5
 Mỗi lần ăn xong phải tháo ra tháo vô thì hơi bất tiện,4
 Được tặng thêm miếng lau nhà mới,5
 nói chung là OK,5
"Sản phẩm đẹp, sắc xảo, chắc chắn",5
"đẹp, gọn gàng, y hình ảnh, được tặng thêm 1 miếng lau, duy nhất là có vẻ hơi yếu",4
Sản phẩm xài rất êm tay,5
tiện ích,5
"Dễ lắp ráp, dễ sử dụng",5
"Dùng tốt, dễ sử dụng",5
 hơn cả mong đợi,5
Rất hài lòngl,5
 xịn hơn cây 50k,5
hàng VN chất lượng cao,5
Lau tốt hơn hẵn chổi tròn mình thường dùng,5
"Sản phẩm chất lượng và đẹp! Giao hàng nhanh, nhiệt tình",5
chắc do bên vận chuyển có cái để thức ăn 2 điểm nhỏ nhưng không đáng kể còn hình 3 hủ nhìn chung đep giữ nhiệt tốt,4
 Nếu biết vậy thì Tiki không nên quảng cáo khuyến mãi để người mua hàng khỏi hụt hẫng,4
"Nhươc điem: mặt tiếp xúc với nền nhà nhỏ và phẳng quá nên không cuốn được rác vụn đi, giá sp hơi cao",4
 Tuyệt!,5
"Giao hàng nhanh, sản phẩm chất lượng",5
 Còn lại thì mọi thứ hoàn hảo như mô tả,4
" Lau chỗ ướt thì thấm nước tốt, mau khô",5
Để đồ ăn từ sáng tới trưa vẫn nóng bỏng tay,5
"Mẫu mã đẹp, gọn, nhẹ, dễ sử dụng, tiết kiệm nước, giá tiền đi đôi với chất lượng ",5
Giữ nhiệt tốt nhưng bộ này hơi to + các hộp con bằng nhôm  ko có lớp cách nhiệt  nên có thể gây bỏng khi cho đồ ăn vào,4
"Nay mình xài rồi mới đánh giá: hộp cơm đẹp mã, nhưng ko giữ nhiệt được, mình hâm cơm bỏ vô hộp lúc 8h thì 12h ăn thấy không còn ấm nữa, nguội rồi",4
 Chủ yếu hơi nóng tập trung hết ra vỏ hộp bên trong,4
 tất cả xứng với 5  nhé các bạn,5
"Sản phẩm tốt, tôi hài lòng",4
Nhìn khá ok,5
 mình đã sử dụng thử,5
 Giữ nóng tốt,5
thật tuyệt vời !,5
"cầm chắc tay, tốt",5
"Sản phẩm chất lượng , mẫu mã đẹp",5
 chất lượng tốt,5
Giao nhanh hàng tôt,5
dùng ổn giữ nhiệt lâu,5
Phân loại sản phẩm   màu xanh ,5
 Hài lòng về hình thức đẹp cho 5 sao,5
đóng gói tệ quá trừ 1 sao,4
Cây lau nhà dùng rất thích,5
" Vì dịch nên gói hàng cũng ít lớp hơn, mình thấy hay và thức thời",5
"Cây lau chắc chắn, bông lau khô hơn các loại bông lau khác trên thị trường",5
 2 dây và thêm 1 nắp dự phòng,5
xài tốt,5
"sản phẩm như hình ảnh, gọn nhẹ, giao hàng nhanh",5
Sản Phẩm chất lương như mô tả,5
"Đóng goi chắc chắn, giao hàng nhanh, gọn nhẹ",5
 ,5
mới dùng dc 2 ngày,5
5,5
" Còn cơm, canh, thức ăn chưa thử nghiệm",5
 Dùng rất ok,5
chắc chắn,5
nhỏ gọn,5
 Màu sắc trang nhã ! Chưa sử dụng nên chưa đánh giá được độ bền ! Hàng chính hãng Parroti đã rất uy tín nên hoàn toàn tin tưởng ! Sản phẩm được Tiki giao đóng gói kỹ càng,5
"Đóng gói rất chắn chắn, giao hàng cực nhanh, quá xịn, sẽ mua tiếp tục",5
 Giờ nhoáy cái 15’ xong mà khoẻ dễ sợ các bác ơi,5
 ai biết chỉ mình với nha,5
 Săn sale 660k,5
 Đây là lần đầu mình review cho sản phẩm nội địa,5
thích màu xanh hơn màu trắng,5
Thực sự rất tốt  dùng thích và hiệu quả  sạch sẽ dễ dàng,5
good for you,5
đẹp lắm,5
san pham xai ok,5
"Bộ lau nhà nhỏ gọn, chưa lau thử nên k đáng giá dc chất lượng",5
", Chắc chắn, Không phải bàn cãi",5
"rất đẹp, chất lượng, tiki giao hàng nhanh, đóng gói tốt",5
 Lau nhà sạch,5
Thùng đựng nước cũng nhỏ gọn nên xách nhẹ lắm luôn,5
Giá này xứng đáng tại bữa mình có đặt 1 bộ giá 180k mà ọp ẹp lắm may là hoàn hàng lại dc và hốt ngay em này,5
giao hàng nhanh sản phẩm tốt mọi ng ạ,5
"Rất tốt, nên mua",5
"Sản phẩm tiện dụng, lau cực sạch",5
rất đẹp,5
" Rất ấn tượng với sản phẩm nội địa này, không có gì quá đặc biệt nhưng lại tất dụng rất tốt mọi thứ để sản phẩm tối ưu",5
"Hộp giữ nhiệt tốt, hộp đựng inox nên bỏ đồ ăn nóng cần cẩn thận",5
 Rất nhẹ và gọn gàng,5
"Mình mới dùng được 2 ngày, giữ nhiêt cũng tương đối tốt",4
Cưng xỉu,5
"Bộ lau nhà ok, lau sạch lắm nhé",4
 Giao hàng lâu,4
Rất hài lòng về sản phẩm và dịch vụ giao hàng,5
Khá là to dữ nhiệt tốt,4
 Chất lượng khỏi chê sẽ ủng hộ shop 👍,5
chưa sử dụng nên chưa bik ra Sao,4
"giữ nhiệt tốt, để từ sáng đến trưa vẫn ấm, lõi trong ko giữ nhiệt nên có thể bị bỏng",5
Sp rất ưng ý ,5
Tuy nhiên cặp Muỗng Nĩa dùng lâu dài thì có vẻ cái chốt gắn bị lỏng dần,5
"Sản phẩm oke, bền chắc, màu sắc tươi sang",5
 Cán lắp dễ dàng,5
"Rất đẹp, chắc chắn, rất dễ tháo lắp cây   chỉ cần vặn vào thôi  muốn tháo ra chỉ cần vặn ra, tiện dụng khi mang đi xa luôn, sản phẩm gọn, nhẹ và dễ lau chùi mọi ngốc ngách trong nhà và lau trần nhà nhẹ, dễ dàng không mỏi tay, cảm ơn shop vì sp tiện lợi, giá cả hợp lý!!!!",5
"Lau nhà sạch, cứng cáp, nhẹ nhàng việc nhà hơn hẳn",5
Hộp cơm giữ nhiệt rất tốt đồ ăn nấu từ sáng đến trưa vẫn ấm nóng,5
 Thùng lau nhỏ gọn chắc chắn,5
 Lại được free shipping nhé,5
tốt giống như hình,4
hài lòng,5
 Không bjk một thời gian sau ntn nhưng vẫn vở 5 sao,5
 Thank Tiki,5
hàng rất OK động gói cẩn thận,5
"Vắt khô, vắt nhẹ, lau sạch, cây lau nhẹ… nói chung xịn xò",5
 Có thêm một nắp đậy để làm gì vậy shop?,4
 có điều phải canh lúc hứng nước vì nếu tràn nước qua ngăn khô thì phải đổ hết nước hứng lại từ đầu,4
 Đã mua 2 sp của Parroti là thùng rác thông minh và cây lau nhà này,5
" Mới dùng thử thì cây vắt khô, nhẹ nhàng",5
ổn phù hợp với giá tiền,4
Mik chx xài nhưng shop tư vấn rất nhiệt tình,5
Hàng ok,5
Cây cứng cáp nhưng vắt Cũng tạm thôi,5
Tuyết voi khi mua em ve,5
"Hàng đẹp, rất thích",5
"Sản phẩm đẹp, còn dùng thì thời giưn mới biết được 🙂",5
"Sản phẩm nhỏ xinh, chắc chắn :  ",5
Bộ hộp cơm rất xinh,5
"Sp lau sạch thấm hút tốt, giặt sạch vắt khô",4
" Miếng lau sàn nhà sạch, ko để lại sợi",5
Sản phẩm ok dùng tốt,5
 K đưa tay vào để rửa thùng được,4
 Cám ơn Tiki,5
 Bền và tiện dụng,5
"đẹp, gọn , tiện dụng",5
 Màu của tấm lau dễ nhận diện bụi bẩn,5
Từ sáng đến trưa vẫn đang nóng bừng lun,5
 Nhẹ tay và xoay góc tốt,5
 lau rất thich,5
Đã nhận hàng thành công sao chưa thấy thưởng astra k biết có lỗi gì không ạ? Hic,5
"mình mua cho mẹ,ở ngoài đẹp lắm 🙂🙂🙂🙂",5
 Tuy nhiên nsx khá tinh tế khi có để thêm 1 nắp ngăn trên hộp đựng canh,4
" Đầy đủ hộp, hướng dẫn sử dụng, có miếng lau thay thế, được tặng thêm miếng lau",5
"Sạch, gọn, chắc chắn",5
Tốt như hình,5
"giao hàng nhanh, đóng hàng chắc chắn, sản phẩm tốt, chất liệu ok",5
 Chưa xử dụng nên kb độ bên như nào nhưng nhận hàng thấy khá ưng,4
 trời lạnh đến 15 16 độ,5
"sản phẩm ok chắc chắn, tốt",4
"Nhựa cứng cáp, dễ sử dụng, lau rất sạch",5
" Tháo lắp dễ dàng, dễ di chuyển",5
Giao hàng đúng tiêu chuẩn,4
Giữ nhiệt tổt,5
Mới nhận đc hàng,4
"Sản phẩm chắc chắn, đóng gói cẩn thận",5
"Giao hành nhanh, Sp đẹp, chính hãnh",5
lau sạch,5
 đóng gói cẩn thận rất ok,5
 Bền hay ko còn phải sử dụng đã,5
ảnh mang tính chất nhận xu,5
 Đóng gói kĩ càng,5
OK,5
"Nhà tắm nhỏ dùng loại này rất phù hợp, để rất gọn gàng",5
 Túi giữ nhiệt nhiều ngăn,5
Đóng gói cẩn thận không có méo hộp đựng hàng,5
Gọn   nhẹ   tiện lợi,5
 hy vọng sẽ ủng hộ shop tiếp,5
Bộ lau nhà ưng ý nhất từ trước tới giờ ,5
Sieu gọn nhỏ,5
"bình giữ nhiệt tốt, lúc nào đồ ăn cũng ấm nóng",4
Sau hơn 10 ngày dùng thì sạc tai nghe bên trái không nhận nữa,1
Hy vọng Tiki sẽ nhặt sạn và cải thiện vấn đề tốt hơn,2
"Mình mua về được 1 hôm, dùng bình thường, hôm sau ngồi xem kĩ lại mới thấy cái bản lề của case có vấn đề, đóng vào, lắp đậy case cảm giác bị lỏng lỏng do bản lề, có tiếng kêu kẹt kẹt khi chạm vào lắp case, không biết trường hợp này thì có có vấn đề gì không, và có được bảo hành không, hay đây là lỗi chung cho tất cả sản phẩm, mong nhận được sự support phía Tiki",2
 Thực sự không đáng mua,1
Hàng k chất lượng,1
Chất liệu giấy thì mềm dai nhưng đóng gói lỏng trọng lượng nhẹ mà khổ giấy cũng nhỏ,2
"Bình thường vì khi các bạn bé dùng hơi khó vắt khi cho vào, chiều xoay của cây lau ko xoay như quảng cáo",3
Cần được bảo hành ạ ,1
Sạc nóng máy,3
Quá buồn cả nhà ơi,1
Mình thấy ghi có 3 miếng đệm PVA sao mình thấy có 1 cái,1
cho em hỏi bảo trì sao ạ,1
Sản phẩm mới mua nhưng bị lỗi tai nghe bên phải không vào pin ko nghe được,1
" Mình viết mail rồi gọi điện thoại liên tục nhưng chỉ toàn nhận đc 1 câu trả lời chung chung, tiền mình bỏ ra mua phải sản phẩm bị lỗi mà yêu cầu hoàn tiền lại thì như đi xin vậy, thất chán hết nói  sau hơn 2 tuần liên tục gọi điện, mail hối thúc thì mới nhận lại được tiền ",1
"300 tờ, 3 lớp",1
 Khả năng dây mầu xanh dễ bị chập chờn hơn các mầu khác,1
Hôm nay tai nghe tự nhiên tịt 1 bên trong khi đang nghe trên tai,1
Mua từ hôm nay 05/03/2022 nhưng hạn bảo hành đến 30/12/2022   yêu cầu nổi lại máy mới cho tôi về đúng hạn bảo hành 1 năm,1
Màu sắc không được lung linh như quảng cáo,3
Mình thật sự thất vọng về dịch vụ TikiNow của Tiki,2
 Hàng phù hợp giá tiền thôi ,3
 Không hiểu sao tiki lại giao sản phẩm lỗi sơ đẳng như này đến người tiêu dùng,1
"bịch giấy nhỏ quá, tạm được",2
quá tệ ổ cắm ọp ẹp cắm vào k rút ra được,1
"Ủa sao giao hàng ko có ốc vít gì hết sao lắp, ko có mọng luôn",3
Chất lượng tốt nhưng vận chuyển làm xước bẩn các góc cạnh và mặt bàn,3
 Khi lắp bàn thấy mặt bàn bị bể góc thông báo một tuần rồi vẫn chưa thấy thu hồi hàng lai,1
"Mình mua 2 bình, sử dụng chưa được bao lâu đã tróc sơn; quá tệ cho 1 sao",1
sản phẩm chưa thực sự tốt,3
" Mới dùng thỉnh thoảng cắm kết nối máy tính báo ""mở khóa iphone để sử dụng phụ kiện USB""  cái này sẽ tìm hiểu thêm ",3
 Khi cho thức ăn nóng vào thì cần có khăn lót ko bỏng tay  bất tiện ,2
" Trong khi những cab khác mua 2,3 ngày đều đã nhận đc",1
 DÙ ĐÃ CỐ GĂNG RỬA VÀ PHƠI NẮNG BÌNH,2
 Ko hài lòng,1
không okie lắm vì nhỏ quá,3
Thanks,2
 ngoài,3
 Thất vọng tràn trề 😥😥😥😥😥,2
"Lau sạch nhưng đẩy khó đi, mất sức, không phù hợp vs nhà lát gạch men",3
Không biết có vấn đề gì không nhưng tháy ko yên tâm lắm ,1
"thiết kế quá kém thông minh, lắp cây lau thử kéo về phía mình thì còn hơi trơn, đẩy ra thì rít như phanh xe máy luôn",1
"Anw, tai nghe ổn, giao hàng nhanhy, đóng gói hơi sơ sài",3
giao hàng super lâu,2
"Đã đặt hàng, nhưng đến ngày dự kiến giao hàng nhưng đơn hàng vẫn trong tình trạng mới tiếp nhận",2
"Giấy không được dai, thấm nước rất nhanh",3
 Phải dùng củ 2,3
 mình muốn mua camera kết nối để xem từ xa khi không có nhà nhưng món mình mua như dành cho gắn trong cửa hàng và chỉ xem trong phạm vi đó,1
mới xài chưa dc 1 ngày là hư,1
 Mới đựng lần đầu đã như vậy rồi ạ,1
Chả hiểu sạc cả đêm hơn mà vẫn không đầy,3
 Sản phẩm nếu có lớp chân không cách nhiệt cho hộp hoặc phủ thêm lớp nhựa thì sẽ tốt hơn rất nhiều!,3
Mới mua về mở bọc ra thì bị rỉ sét,1
"Tiki lừa đảo, mọi người đừng mua",1
" Xong giờ dùng lần thứ ba thì bị nghẹt cây vắt, ấn push rồi nhưng nó bị nghẹt ko đi qua để vắt nước được luôn, phải dùng lại cây lau nhà mấy chục nghìn và thấy còn ổn hơn",1
"Hàng chính hãng, thùng chắc chắn",3
"Mút bị lột keo khỏi tấm nhựa nên dù lắp tấm nhựa vào cây lau khớp nhưng cục mút vẫn bong tróc ra một cách dễ dàng, phải gia cố lại bằng các loại keo dán mới sử dụng được, khá thất vọng chỗ này",2
"camera dùng được vài tháng bị đơ, tắt bật cả chục lần không lên",1
" Đề nghị tiki xem lại đừng hợp tác với cái đơn vị vận chuyển này, bên tiki cũng ko có hướng giải quyết cho khách, gọi lên tổng đài tốn biết bao tiền mà chỉ có 1 câu kêu đợi, đợi gần cả tháng !",2
Sản phẩm giao lỗi,1
09,3
Dùng được vài lần thì hư nắp đậy rồi,1
Đăng bán hàng VN nhưng khi giao lại là china,1
 Giá tốt so với siêu thị,3
"Mở thùng hàng nhìn mất cảm tình, như hàng tồn kho lâu năm?☹️",2
k hày lòng,2
Ổ cắm chỉ dùng chưa được 1 tháng thì đã lỏng phít cắm,1
"Ko như mong đợi,giáy quá nhỏ",3
"tai nghe chỉ nghe được 1 bên vì 1 bên không hiển thị bin sạc có thể bị hư, mình đã nhắn tin shop không trả lời ",1
"loa bị rè, mình muốn đổi sản phẩm",1
Chất lượng không đúng như quảng cáo,1
bt chgcjdvnxvhvhgcyhvfrhcrgcrr,3
"Không xài dc, mới mua mà chán",1
không hiểu kiểu gì mua dùng vài bữa sạc pin thì thế này đây,1
 sp như mô tả,3
 bên trong ko lót gì,1
 Sau đó im lặng! Chưa bao giờ thất vọng về thái độ làm việc như thế,2
"Giao hàng nhanh, hàng đẹp, tuy nhiên không đúng màu",3
,1
hộp ghi hàng dễ vỡ mà giao nát tan lun ,3
 Các bạn nữ vẫn có thể tự lắp được nhưng cần 2 người vì bàn cũng khá nặng,3
Chuan chất lượng cmt sau,3
"rẤT LÀ TỆ , KO LAU ĐƯỢC GÌ , AI CẦN MÌNH CHO LẠI",1
" hàng cồng kềnh, m ko nhận ở cty được",1
 Khác loại thùng vuông vuông mình vẫn dùng,2
 theo cảm nhận là nên có đồ che đinh hoặc thiết kế sao cho đinh ko bị lồi lên thì sẽ đẹp hơn,2
 Mọi người nên để ý,1
"Sản phẩm bị lỗi, vỡ vành",3
 Tóm lại với giá tiền đó thì chất lượng chấp nhận được,3
Sp ko xoay được,3
Mới xài dc mấy ngày bong mất tiêu,1
mua về check bảo hành thì báo như này là sao ạ,1
Dùng đúng 1 năm là hư một bên tai,1
 Và không biết khi nào mới nhận được hàng đổi trả,2
nhanh hơn đi,2
Hỏng 1 tai nghe,1
"Giao hàng nhanh, đóng gói cẩn thận nhưng ",2
Ưu điểm giao hàng nhanh,3
 Super thất vọng về dịch vụ của Tiki lần này,1
 Gọi điện lại cho Tiki thì hứa giải quyết nhưng qua 2 ngày trời ko thấy hành động xử lý gì???,1
